title,articleUrls,keywords,text
Placements 101,https://medium.com/@smitasheena11/placements-101-d1bf43455e91?source=tag_archive---------0-----------------------,"Internships,Placement","With IIT Guwahati’s placements coming up in less than three weeks now, we have Aakhil Shaik, class of 2019, walking us through his placement experience in this article as a part of the InPlace Series by Cepstrum, IITG. Aakhil is currently working for Oracle as an Applications Engineer.The placement tests are very stressful — how did you manage? Do you have any tips for the current batch?Yes, the tests are very stressful and at the same time we had our BTP presentations and submissions. My schedule was too packed. During the tests, I did not find much time to practice new questions. So, before each company test, I used to go through previous year questions which are posted in Inter IIT Forum / GFG. I’ve added a link to a forum as an example:Would you like to add a message for all the fourth yearites gearing up for placements in less than a month?One of our seniors told us — “If you are not on the zeroth stage of preparation, you will definitely get placed”. I completely agree with him. Remember, placement is not the end. It is sort of a starting point. I’ve seen people who get a 6-digit salary every month and are still not happy; I’ve also seen many of my seniors and friends, who didn’t get placed in so-called “tier-1 companies”, who did not get “fat packages” but still found a better way to do great things in life.If you are feeling low or nervous, don’t hesitate to talk to your friends and seniors because they will definitely make you feel better. Do not take too much pressure, because one day you’ll look back and laugh at the problems you think you have today.Written bysmita saxenaFollowInternshipsPlacementMore from smita saxenaFollowMore From Medium5 Things More Important Than Intelligence In Software EngineeringMichael Vinh Xuan Thanh in The Static Void AcademyWaiting Tables Taught Me To ConnectRic Burnett in The StartupWhy You Should Try a 32-Hour WorkweekMartin Van Duyse in Live Your Life On PurposeAdvice From a Developer, Industry Executive, and Startup CTOGarrett Vargas in The StartupDo Yourself A Favour, Find a MentorApoorva Rathnayake in The StartupStrategy Is CultureLuke Kanies in NewCo Shift6 Skills to Future-Proof Your CareerJennifer WilsonTraditional resumes are a disservice to mid-career professionals. Let’s change that.Nicole Coustier | Aurelian CoachingAboutHelpLegalGet the Medium app"
Interning at JP Morgan Chase — Mumbai,https://medium.com/@smitasheena11/interning-at-jp-morgan-chase-mumbai-d374d46159d8?source=tag_archive---------1-----------------------,"Placement,Internships","I consider myself lucky — extremely lucky, in fact, to have been able to intern at one of the most prestigious banking firms across the globe — J.P.Morgan. When I met the person who interviewed me in the office, I asked him what J.P.Morgan expects from job applicants. He simply replied: “You have been here for a month now, I think you can guess what kind of people we are looking for.” At the risk of sounding presumptuous, I would say that they look for people who can manage challenging projects and who have a hunger to learn.Written bysmita saxenaFollowPlacementInternshipsMore from smita saxenaFollowMore From MediumThese Are the Workers Most At Risk of Being Laid Off.Staff in The Motley FoolPositivity in Getting Back to Work Post-VacationMJ BlehartOne-to-Many CSM Team: What Is It and When Do You Need It?Artem Gurnov in Wrike TechClubCrisis leader + crisis manager = a critical partnershipBill Coletti in The StartupHow to Survive a LayoffThe Cut in The CutWhy Work-Life-Balance Is a Myth.DrPsychick in ILLUMINATIONWhat I Learned from Receiving 100+ LinkedIn Messages over the Last 30 Days from People Who Need a…Tim Denning in The Ascent5 Fundamental Lessons from My First JobRia Tagulinao in The StartupAboutHelpLegalGet the Medium app"
Things I learned from social work placement,https://medium.com/@vannabunny1116/things-i-learned-from-social-work-placement-1132aac4c965?source=tag_archive---------2-----------------------,"Social Work,Placement,International Student","Before I share own experiences in first placement, I would like to introduce myself first.I am an international student from Chinese background. I have been living in Australia around 7 years and studying bachelor of social work degree. English as my second language or maybe third language ( I also speak Mandarin and Cantonese).Before I came to Australia, I went to the United State for one semester. That was the first time ‘knowing’ the concept of ‘race’. After I moved to Australia and study social work, I knowledge Australia as a multicultural country and my own position under this social structure as culturally and linguistically diverse group (CALD). The concept of CALD was pretty new to me, I never thought about the category that I have been fitted in is basically represented my identity in this social structure.Things are getting interesting after I noticed/ aware of I am from CALD group. I started try to put on the ‘CALD lens’ to observe what is happening in my surrounding and reflect on my own experiences in daily life. As a CALD students, I found there are couple barriers need to overcome in placement. There are the barriers for me in placement and how I cope with them.language barrierI guess language barrier is obviously for CALD background students. Because of language barriers, sometimes I found it can be hard to understand the clients and other staffs at work. However, there is another barrier in language concerned me more, I found the most time even I know every words that other people said, but I cannot catch the meaning behind these sentences or words. There are always have hidden meaning in a conversation, and that could be hard for me to understand it and keep the conversation going. I was quite frustrated in the first few weeks in placement, then I talk this issue with my external supervisor. Through express my concern in the placement, she gave me some advises about it. Speaking is the one way to express ourself and connect with others. However, body language also can be useful in some situations. To overcome with the language barriers, I learned about active listening and being there for the clients also are important in social work practice.cultural differentMy experience of cultural differences is not only happens in placement, that is my daily experiences. However, because my role and position in placement, that is more difficult for me to cope with it. For my own understanding in cultural different, I found some concepts for me are brand new experience, but for the native people that is the common sense. These experience was very frustrating for me, I feel like I am not study hard enough or I do not really have common sense, but when I think about that in most of time I do not even know these concepts are exist. To cope with the cultural differences, I learned to be curious, just simply curious about everything that happened around me. I also learned to ask questions, the questions can be really random sometimes. But that is one of my way to learn about the cultural and knowing how other people understand the culture. I learned to ask the questions as what do you mean by that or I do not really understand that can you explain that for me ? After first placement, I found this strategy is working for me. It is not only about asking the right question in the right time, but also sending the message to the clients that I do interested in the topic that she/ he talking about, then they might willing to talk more about themselves and building rapport.For my own experience in placement, I found two main barriers for me are language barriers and cultural different. However, I also trying to find the ways to cope with it. I can be difficult in the beginning, but after the placement, I know I learned something from it and also that is part of my journey to being role as a social worker.Written byYiu VannaFollow1 1 1 1 1 Social WorkPlacementInternational StudentMore from Yiu VannaFollowMore From MediumHow Not to Annoy Your MentorMatt TannerThe Soft Underbelly of CollaborationValerie F. LeonardThe Art of Shutting Up in a Client Presentationjeremy carsonHow Virtual Reality Can Boost Your Human ResourcesWalkMe in Digital Adoption 101How to Say “No” and Why You Shouldtara blair ball in The StartupAt Which Age Should You Work the Hardest?John McDermott in MEL MagazineWhy This Is the Year You Will Hire an AssistantFab Giovanetti in The StartupDoes your file organisation allow for team collaboration? 📂Charlotte Fountaine in Sainsbury’s Experience DesignAboutHelpLegalGet the Medium app"
"<strong class=""bt"">Textiles recruitment agencies in Hyderabad</strong>",https://medium.com/@blogposting.7consultancy/textiles-recruitment-agencies-in-hyderabad-57d8658236a7?source=tag_archive---------3-----------------------,"Textile Industry,Recruitment,Placement Consultancy,Hyderabad,Placement","India’s textiles sector is perhaps the oldest industry in the Indian economy, going back to a few centuries. The business is incredibly shifted, with hand-spun and hand-woven materials areas toward one side of the range, while the capital-concentrated advanced factories part on the opposite end. The decentralized force looms/hosiery and weaving division shapes the biggest segment in the materials segment. India’s materials industry has an ability to deliver wide assortment of items reasonable for various market portions, both inside India and over the world. From the above passage you may comprehend that this blog will be about textiles industry, and we will likewise talk about the Textiles recruitment agency in Hyderabad.The modern textile industry offers a wide scope of vocation openings from crude materials handling to the plan of attire and decorations. Verifiably, the material division has been a significant manager of untalented work in recently industrializing areas and nations. These employments have relocated from the industrialized nations to creating countries where work costs are low. Today, the India material industry contends in a globalized market to offer quality products at reasonable costs. Material organizations are littler than they were a couple of decades prior, and need explicit plan, business and specialized abilities to contend universally.Textiles major incorporates the structure, creation, promoting, and utilization of pieces of clothing, textures, and fibers. Textiles is a huge sector and have various department in it, sometimes people get confused about the department. That’s why it’s better to take help of Textiles placement consultant in Hyderabad, they clear the confusion of candidate regarding all issues. Here are some department of textile industry is mentioned.· Textile Research Department· Textile Production Department· Textile Marketing and Sales Department· Textile Administration· Apparel Design Department· Apparel Manufacturing or Production Department· Merchandising Department.· Sales and Distribution DepartmentIn this departments you can get job titles like,· Medical textiles engineer· Process engineer· Operations trainee· Quality control supervisor n· Process improvement engineer· Technical salespersonWith the help of Textiles Placement agency in Hyderabad & with help of your skills and education you can get this job title.Why Companies go for the recruitment agency?Recruitment is long and time taking process as well as there are lots of things which is important while recruiting a person. Industry like textile have huge amount of work and they don’t have such amount of time and manpower to handle the recruitment process. Apart from this company wanted candidates, who are perfect for industry. That why they go for recruitment agencies. Textiles Recruiting Firm in Hyderabad have huge network and data of candidates. They call the candidates as per the company requirement and filter the candidate to choose the best one for company.Some Best Textiles Recruitment Consultant in Hyderabad, like “Seven consultancy“ also provide extra services for example, background verification of candidate, mock interviews as well as some of the agencies give training also. For candidates agencies are very helpful, because they get feedback to improve themselves. Apart from that they get informed about company environment and history. So they can get an idea to take the decision.Now, if you are thinking, how will be the life in textile industry? Actually everyone have their own set of experience. But I can tell you the pros and cons of this industry so you can get a small idea of it. Like with any vocation decision throughout everyday life, there will be advantages and disadvantages. Here are the upsides and downsides of being a material Industry:Advantages• An exceptionally serious market for the individuals who love difficulties.• Fame and acknowledgment for an exceptional structure.• Great compensation and independent work openings.Disadvantages• Tasks and ventures can get upsetting• Unintentional copyright claims• The steady strain to be imaginativeSo, if you are thinking about to enter this industry or want to switch your job to this industry or if you are a student and want to make carrier in this industry. Let me tell you, you will find out, learn and get knowledge about innovation applications, fabricating frameworks, item advancement, purchasing, limited time procedures, dress and material structure and customization, and quality control in the attire and materials enterprises. For this you can take the help of Best Recruitment consultancy in Hyderabad. They will help you and make your path easy.Written bySeven ConsultancyFollowTextile IndustryRecruitmentPlacement ConsultancyHyderabadPlacementMore from Seven ConsultancyFollowMore From MediumIt’s Called a Filter, HoneyJessica Wildfire in splatteredTraveller: I haveto tell my storyGriffiths SibekoForbes WelcomeForbesDetour to Success.Magdel Roets in Author MastermindsWill AI benefit ‘human’ in Human Resources?Riti DassThe secret to “being” Agile.Jeehad Jebeile…INTRODUCTIONSPRITISH JACOBOpen Offices Can Lead to Closed MindsThe EconomistAboutHelpLegalGet the Medium app"
"<strong class=""bt"">Bio-technology recruitment agency in Hyderabad</strong>",https://medium.com/@blogposting.7consultancy/bio-technology-recruitment-agency-in-hyderabad-aed44ed664f1?source=tag_archive---------4-----------------------,"Biotechnology,Recruitment,Placement,Hyderabad","Before hopping on to the formula for building an effective profession in Biotechnology, how about we comprehend what precisely biotechnology is. Biotechnology permits us to join designing innovations with natural sciences so we can manage organic frameworks and living life forms to manufacture inventive items that are identified with our food, pharmaceuticals, condition control, agribusiness, medication, and human services. There are a plenty of profession openings in Biotechnology from the innovative work area to the mechanical turn of events and managerial part. This blog is going to be about bio technology and Bio-technology recruitment agency in Hyderabad.Biotechnology is separated into five significant sections Bio-pharm, Bio-administrations, Bio-agri, Bio-mechanical, and Bio-informatics. The biopharmaceutical division represents the biggest portion of the biotech business with a portion of 64% of all out incomes, trailed by bio-agri with 14% piece of the pie (2019). Bio-administrations represented 18% of the Biotech business as India is turning into a main goal for clinical preliminaries, contract exploration, and assembling exercises, which is further fueling the development of the bio-administrations. India is additionally one of the principal nations to have an office committed to Biotechnology. The Department of Biotechnology has likewise set up BIRAC (Biotechnology Industry Research Assistance Council). This not-for-benefit an interface organization to fortify and engage developing biotechnology endeavors to attempt vital examination and advancement.Focusing on a profession in Biotechnology, graduates can look over a plenty of parts and interdisciplinary jobs and concentrated occupation possibilities. Infer able from the monstrous extent of Biotechnology, you can investigate a vocation in research or mechanical turn of events or even seek after profession openings in logical or authoritative areas. Here are the distinctive employment segments for a vocation in Biotechnology:• Waste Management• Drug and pharmaceutical examination• Bio-preparing businesses• Agricultural Sciences• Environment Control• Public financed research facilities• Energy Management• Food Processing• Dairy TechnologyPresently, how about we investigate a portion of the significant Biotechnology occupations which you can find subsequent to finishing a degree or recognition in this field:• Biomedical Engineer• Biochemist• Medical Scientist• Clinical Technician• Microbiologist• Process Development researcher• Bio-producing SpecialistBiotechnology comprises of huge fields. The most popular vocations in Biotechnology incorporate Medical Sciences, Clinical Engineering, Biomedical Engineering, Microbiology, Medical Engineering, Process Development Science, and Clinical Research. There are lots of colleges in Hyderabad and other region of India, which provide this education. Some of the colleges take helps of Bio technology placement consultant in Hyderabad to place candidates.Nowadays, companies are looking for the candidate, who are well educated and passionate about biotechnology. Here is the Bio technology recruiting firm in Hyderabad help this companies to recruit perfect candidate. Recruitment agencies educate themselves about industry requirement and need. Also companies can save their time by going for agencies because agencies do complete work like, from background verification to candidate filtering process and documentation also. Apart from there are lots of other work done by recruitment agency, and that’s why companies choose to go for agencies.Some Best Bio technology Recruitment Consultant in Hyderabad give training also, they prepare candidates for the biotech industry. They keep orientation, so the candidate get an idea what type of company needs what type of qualities. Also this recruitment company help to grow them, from preparing resume to how to crack final interview. Apart from this mock interviews helps candidates, the feedback is one of the most important factor to develop them-self. “Seven consultancy” is one of the best Bio technology Placement agency in Hyderabad. They have network in all over India, and years of experience in this field.So, if you are looking for Bio technology as a carrier then you must go for the Recruitment consultancy in Hyderabad which will help you to make you path easy. And biotechnology having great future in India, so get ready for booting your carrier in biotechnology.Written bySeven ConsultancyFollowBiotechnologyRecruitmentPlacementHyderabadMore from Seven ConsultancyFollowMore From MediumHow to be Terrible at EverythingBlake Bailey in The Startup5 Things You Can Do Right Now to Affect Positive Change at the Employer-LevelJulia Rose in AppExchange and the Salesforce Ecosystem5 Ways to Make Working From Home More FunItxy Lopez in Better MarketingHow to Network With People You Don’t Know to Get The Job You WantRafael Sarandeses in Better HumansThe Faller of GiantsStuart Grant in ILLUMINATIONIs Career Perfectionism Driving You Mad?Elaine Mead in Curated CareersEveryone’s on Camera and Nobody Knows What They’re DoingDaniel Brown in The StartupWhy “Don’t Burn the Bridge” is Problematic Advice for Women in Business.Kathryn Dickel in MomentsAboutHelpLegalGet the Medium app"
Placements 101,https://medium.com/@smitasheena11/placements-101-29f0be1e9eed?source=tag_archive---------5-----------------------,"Internships,Placement","With IIT Guwahati’s placements coming up in less than three weeks now, we have Aakhil Shaik, class of 2019, walking us through his placement experience in this article as a part of the InPlace Series by Cepstrum, IITG. Aakhil is currently working for Oracle as an Applications Engineer.The placement tests are very stressful — how did you manage? Do you have any tips for the current batch?Yes, the tests are very stressful and at the same time we had our BTP presentations and submissions. My schedule was too packed. During the tests, I did not find much time to practice new questions. So, before each company test, I used to go through previous year questions which are posted in Inter IIT Forum / GFG. I’ve added a link to a forum as an example:Written bysmita saxenaFollowInternshipsPlacementMore from smita saxenaFollowMore From MediumThe Death of the American HobbyistMatthew Maniaci in The StartupWhat Makes a Successful Work EnvironmentClaire Chabas in The StartupDevelopers: Four keys to better feedback conversationsAdam Dudley in Dev GeniusI’ve Reviewed Hundreds of Entry-Level Résumés. Here’s What It Takes to Get My Attention.Fast Company in Fast CompanyHow People with Learning Disabilities Handle Their Differences in the WorkplaceForbes in Forbes3 Reasons why organizations shouldn’t ask employees to provide free diversity training/servicesClaudia Stack in Age of AwarenessA Monday to Friday Sort of DyingLarry G. Maguire in The ReflectionistThe Dangerous Illusion of the “Dream Job”Mike SturmAboutHelpLegalGet the Medium app"
"Loads of data, byteloads of memories!",https://medium.com/@smitasheena11/loads-of-data-byteloads-of-memories-e5fd4e82ffdc?source=tag_archive---------6-----------------------,"Internships,Placement","In this article, Shrey Jani, Dept. of EEE, chronicles his experience at the Inter IIT Tech Meet 2019.My experience was full of surprises and, of course, learning. We will rendezvous with some of them as we go through the journey!The team was formed in early November, and I was lucky enough to be chosen.The data science competition was organized by Bitgrit Inc. along with IIT Roorkee. Bitgrit is a relatively new up and coming online platform that hosts various data science competitions, like Kaggle.The event had three rounds. The first two rounds took place in teams’ respective campuses, and for the third and final round, we went to Roorkee.ROUND 1:Lots of data were given: numerical market parameters and news data converted into numerical embeddings, and the target variable was the USD-JPY exchange rate at the end of the month.Our team started working on the couch of the most luxurious room of the SAC building: Robotics club!We used to wake up late, meet around 1 O’clock, and after 4–5 hours of coming up with different solutions and many submissions, we used to chat our way to the Khokha market, have 2–3 back to back cups of tea with samosa or kachori and head back to our rooms.Four/five days into round one, desperate to improve our position, we had a breakthrough where our rank rocketed from 17 to rank 3! What we did was to drop almost half of the data for training our model after some analysis, and it worked wonders and put an end to our desperation.The quote,“Big data is not about the data.” — Gary Kingfinds its place here.Jumping from our seats, shouting, and high fiving each other, other module teams were left looking at us in bewilderment.Round one ended with IITG in the third position.Written bysmita saxenaFollowInternshipsPlacementMore from smita saxenaFollowMore From MediumWhat is the story of your data?Joel Shuman in The StartupGaussian Processes for Little DataYu Chen in PanoramicBuilt-in Datasets in PythonAnjana K V in Analytics VidhyaBusiness Basics for Data ScientistsKathrin Verestoun in Data Driven InvestorScraping Data from the Web with Python’s BeautifulSoupThiago Carvalho in Python In Plain English‘Sketching superpowers’ with Valentina D’EfilippoEncode team in NightingaleThe Influence of Data Science in ElectionsAnais Gyulbudaghyan in SoloLearnHow to correctly select a sample from a huge dataset in machine learningGianluca Malato in Data Science ReporterAboutHelpLegalGet the Medium app"
My Placement Experience: Adobe Systems,https://medium.com/@smitasheena11/my-placement-experience-adobe-systems-19a5be485cf3?source=tag_archive---------7-----------------------,"Internships,Placement","This article was written by Sarvesh Raj from the EEE Department of IIT Guwahati as a part of the InPlace Series by CEPSTRUM IIT Guwahati.I had three interviews lined up for this slot. I was in the shortlist for MakeMyTrip Product Manager role and the waitlist of JLR and Walmart Labs. I was neither in the shortlist nor in the waitlist of Adobe. The extended waitlist was announced around 9:15 am. I was first in the extended waitlist of the company. The selection was surprising because Adobe puts a lot of weight to CPI and I did not have a lot. The placement days are very strenuous and handling the pressure becomes more vital a skill than possessing technical knowledge. As the announcement was unexpected I was completely unprepared for the interview mentally. I rushed to the interview area and even before the turn of events could sink in I was called for the first round.Written bysmita saxenaFollowInternshipsPlacementMore from smita saxenaFollowMore From MediumUnderstanding the hidden language of beeps and buzzes our technology uses to communicate with us…Henry Tobias Jones in The StartupYou Need a Shape SystemDave Chiu in Google DesignThe Haribo Cult, Advertising as Religion + Why Design is About Much More Than Selling StuffAIGA Eye on Design in AIGA Eye on DesignFlorence Nightingale is a Design HeroRJ Andrews in NightingaleEveryone Hates Open Offices. Here’s Why They Still Exist.Fast Company in Fast CompanySocial Glass: a 24-hour design challengeSami AlurHow Fluent UI Unlocks the Next Generation of Microsoft 365 ExperiencesBenedikt Lehnert in Microsoft DesignWant to Be More Creative? Face Your Space!Donald M. Rattner, Architect in Writers GuildAboutHelpLegalGet the Medium app"
What is the pattern of the verbal section in the DXC technology placement test?,https://medium.com/@placementgeek/what-is-the-pattern-of-the-verbal-section-in-the-dxc-technology-placement-test-13be7f948208?source=tag_archive---------0-----------------------,"Jobs,Placement,Engineering Placements,Dxc Technology,Dxc Technology Placement","DXC technology verbal section has 12 questions and you get 15 minutes to answer the questions. The difficulty level of this section varies from easy to medium.The topics under this DXC technology verbal section are:Prepositions & ConjunctionsReading ComprehensionSynonymsSpeech & TensesArticlesError IdentificationSentence SelectionSentence CorrectionAntonymsSentence Improvement and ConstructionComprehension OrderingSelecting WordsSubject-Verb AgreementContextual VocabularyLet me give you some examples so that you get a better understanding of the pattern of questions asked in this section.Ques- I have met the director yesterday, and he assured me that he will help if you will ask him.a- have met the director yesterday, and he assured me that he will help if you ask him.b- met the director yesterday, and he assured me that he will help if you ask him.c- met the director yesterday, and he assured me that he will help if you ask him.d- No correction required.Ques- Choose from among the given alternatives the one which will be a suitable substitute for the expression in quotes.”The marriage of the princess with the commoner” caused a furor among the royalty.a- Mesallianceb- Misalliancec- Elopementd- RomanceQues- Choose the option in which the usage of the word is incorrect or inappropriate.Runa- I must run fast to catch up with him.b- You can’t run over him like that.c- This film is a run-of-the-mill production.d- Our team scored a goal against the run of play.Ques- Rearrange the following in order:-(A) In this spirit, Xenophanes dismiss the Olympian gods outright.(B) It was inevitable that philosophy’s debt to politics is repaid.© Aristotle intimates that Anaximander of Miletus and the first physiologic- “those exercising logos regarding nature”- espoused a species of monotheism.(D)from speculation about the natural world, one can all too easily draw conclusions that matters of more immediate concern to man.(E) This was in keeping with their presumption that the natural world reflects a single ordering principle.a- BDCEAb- CABEDc- BCADEd- DEBACQues- More often than not, mothers are ____________ for oddities of behavior in their offspring. ____________, single mothers’ children, raised even in the most difficult of times, do not display ‘outrageous’ patterns of behavior, as do those of nuclear families.a- appreciated, consequently.b- berated, therefore.c- praised, in the same manner.d- blamed, interestingly enoughThe overall analytics of this section:No. of questions- 12 questionsTime limit- 15 minutesSuggested time to solve each question- 50 sec- 1 minSome of the most important topics in this section are Sentence selection, Sentence arrangements, Error identification, Reading comprehension, and Idioms and Phrases.For more details about this section, you can visit DXC technology Verbal Papers.For preparing for the DXC technology placement test, you can refer to DXC technology placement papers. This is the most appropriate study material that I have come across in recent time and many of my knowns have also studied fro this material and aced their test.All the best.Written byPlacementgeekFollowJobsPlacementEngineering PlacementsDxc TechnologyDxc Technology PlacementMore from PlacementgeekFollowMore From MediumEstimating Pi in PythonChris Webb in Explorations in PythonAPIs: The Digital GlueSaša Milić in API3Must know basics for Software Engineers :[OSI Model : What Is the Transport Layer? — PART-1]Paritosh Pradeep in The StartupHow to get HTTPS working on your local development environment in 5 minutesDaksh Shah in freeCodeCamp.orgIntroduction to Formality (Part 1)Victor MaiaHow to Become a Blockchain DeveloperAlex Roan in Better ProgrammingCustomizing Tooltips with the Power of Sass MixinsSue Anna Joe in Zoosk EngineeringGetting started on AWS Data Wrangler and AthenaDheeraj InampudiAboutHelpLegalGet the Medium app"
Placement Story: Morgan Stanley,https://medium.com/ccmanipal/placement-story-morgan-stanley-90afef1bc6f8?source=tag_archive---------0-----------------------,"Placement,Morgan Stanley,Manipal,University,Finance","Aastha’s Placement ExperienceWe spoke to Aastha Singh, a Computer Science Engineering student from the Batch of 2019. She was the president and one of the co-founders of the ACM-W Manipal Chapter. She believes her time in Manipal shaped her as a better person for the corporate world. Aastha joined Morgan Stanley at the beginning of 2019 as an intern and by doing exemplary and consistent work has risen to the role of Technology Associate. She is currently working in the Bangalore branch of the company.Morgan Stanley is an American multinational investment bank and financial services company with its headquarters in New York City. It has offices in 42 countries spread around the world. In India, it has its offices in Mumbai and Bangalore. The company started in 1931 and has shown consistent growth, holding a good reputation in the financial world.Interviewer: Technology today plays a pivotal role in many industries. Can you tell us what role technology plays in the finance sector?Aastha: There are many components where technology plays a vital role in the finance industry. It is used in trading platforms for carrying out trade across the globe. It is used at the front desk by the Sales and Risk teams to carry out their jobs efficiently. It is used in managing portfolios of High-Net-Worth Individuals (HNI) and other organizations. Web security is another highly important part when you work at a financial institution as we deal with highly sensitive client data.Interviewer: How did you accommodate the shift from a technical background to the financial sector? Did the skills you learnt during engineering help you in your job profile?Aastha: I was offered the role of Technology Analyst at Morgan Stanley which is the starting position for all entrants. My profile required that I develop software to facilitate banking at Morgan Stanley. Therefore, I was only evaluated on my computer science skills. However, there was a two-week financial domain training given to us by the company at the start of our training program. The financial domain training covered the depth and breadth of the banking and finance sector. It helped me transition comfortably into my role.Interviewer: How helpful was your branch during placements and for your job? Can you tell us what companies value the most in one’s CV?Aastha: My branch was very helpful during placements, as studying subjects like Data Structures, Algorithms, and Java during my time in college helped me in my preparation for placements. It is extremely helpful for my job as a Java Application developer and I use Java/ OOP/ Algorithms/ DS knowledge when I code every day. An important part of software engineering is debugging which you can only do if you have a clear understanding of the core concepts. There is no one answer to what companies value the most in a CV as it varies with different companies and interviewers. For starters, your CV must have a good mix of projects, academic performance, and some kind of certification of your skill. Shine in at least one area, be it academics, projects, or being a great competitive programmer and you will have an edge over other applicants.Shine in at least one area, be it academics, projects, or being a great competitive programmer and you will have an edge over other applicants.Interviewer: How does one prepare oneself mentally for the placement process?Aastha: I would say you should go to every interview with the confidence that you will get through it. This is personally the approach I follow and a confident candidate goes a long way in the interview process. Be positive, patient, and practice well. Opportunities will always be there.Interviewer: How was the placement process for Morgan Stanley?Aastha: I applied for Morgan Stanley off-campus and was given a six-month spring internship. Based on my performance and an interview at the end, I was converted to a full-time employee. For the internship, I had three rounds with a heavy emphasis on Data Structures and Algorithms as well as Java and Object-Oriented Programming language. I would like to point out that Morgan Stanley gives a lot of importance to your knowledge of Java and OOP Concepts. They also ask questions related to Operating Systems and System Design. I would highly recommend applicants to read interview experiences available on sites like GeeksforGeeks.Interviewer: What are the roles Morgan Stanley offers and in what locations?Aastha: As far as I know, Morgan Stanley visits engineering colleges only for recruiting students for the role of Technology Analyst (equivalent to SDE in tech companies). You have the option to choose between Mumbai and Bangalore. Also, they open applications for 3rd years (summer internship) and 4th years (spring internship and full-time employee).First day at Morgan StanleyInterviewer: What made you choose Morgan Stanley and is there anything that you would have done differently?Aastha: While I was interning at the firm, I got a complete exposure to their work culture. I was able to meet the expectations of my employer’s and vice-versa. This made me choose Morgan Stanley as I was impressed with their culture of putting clients first and always doing the right thing. I would probably have brushed my development skills more during college as that is what we do every day in our jobs. This is in contrast to college projects which are relatively small and do not require much understanding of system architecture. Having said that, I was able to learn quickly during my internship and was able to complete my project.Aastha’s Morgan Stanley training batchInterviewer: The experience of being an intern and then becoming an Associate must be exhilarating. How was it for you?Aastha: During my internship, I had to complete a project that was assigned to me first and foremost. Apart from that, I also had to prepare for an exit interview towards the end which would contribute about 50% in my conversion to a full-time employee. After conversion, I joined Morgan Stanley as a Technology Analyst and went for a four-month training (called the TAP Program) in Mumbai. The program was rigorous in preparing us for our roles. It is difficult for a fresher to transition into the Morgan Stanley development environment as it is highly customized. In my training program, I was given training on a vast technology stack as well as on Morgan Stanley-related business and finance.The ACM Board in ManipalInterviewer: How do you think your board positions in Association for Computing Machinery-Women (ACM-W) helped you in nurturing your skills?Aastha: My time in ACM-W played an instrumental part in me getting an internship offer at Morgan Stanley. During the HR interview, I was asked about my role as President of ACM-W. They asked me many hypothetical questions testing my emotional intelligence and leadership skills. This is done to ensure that the candidate is a culturally fit candidate for the firm. ACM-W provided me with a platform where I could nurture those skills.Interviewer: How has your time in Manipal helped you in your current career standing?Aastha: In my opinion, the best part about my Manipal experience was the all-round development that it gave me. Not only did I polish my technical skills but also other important skills such as collaboration, leadership, and presentation.Interviewer: Are there any tips/suggestions you would like to share with our readers?Aastha: I would strongly suggest having a growth mindset. Once you enter an organization, college would be a closed chapter and a new chapter of challenges and opportunities will present itself.ACM-W’s first workshop in ManipalYou can connect with Aastha on LinkedIn.Interviewer & Editor: Yash Banka (Vice President, External Relations)Writers: Navaneeth Krishnan, Shubh Jain, Tezraj Kayshap(Associates)The Curious ConsultantA collection of write-ups and articles brought to you by The Consulting Club at ManipalFollow200 PlacementMorgan StanleyManipalUniversityFinance200 claps200 clapsWritten byThe Consulting Club at ManipalFollowFacilitating the transition for graduates to a future in management consulting through case-solving problems, projects, alumni talks and networking.FollowThe Curious ConsultantFollowArticles about first-hand accounts shared by Manipal alumni regarding campus placements, higher education experiences and a lot more.FollowWritten byThe Consulting Club at ManipalFollowFacilitating the transition for graduates to a future in management consulting through case-solving problems, projects, alumni talks and networking.The Curious ConsultantFollowArticles about first-hand accounts shared by Manipal alumni regarding campus placements, higher education experiences and a lot more.More From MediumWriting great proposals to speed up decisionsMax WilliamsIs it Never OK to Compliment a Woman’s Appearance?Ashley de Leon Lopez in SexographyHere Is Exactly How You Can Deal With Boot-Licking Co-Workers Without Imitating ThemAngeline Tan in Live Your Life On Purpose5 Most Common Interview Questions (+ how to answer them)Alissa CarpenterShifting the Workforce Equation: Employees are the New Customersargodesign in The StartupFuture-Proofing Your CareerMarty NemkoMy Social Media Shadow: Job Hunting With Big OpinionsJessica O'Keefe in The StartupHow to Weaponize Impostor SyndromeMatt Eland in The StartupLearn more.Medium is an open platform where 170 million readers come to find insightful and dynamic thinking."
